Lat,Long,Elevation,Prom,Name,Lat_dec,Long_dec,Icon
14°57'03",-24°20'36",2829,2829,Pico de Fogo,14.95083,-24.34333,
10°42'48",37°50'54",4100,2225,Ch'ok'e Terara,10.71333,37.84833,
6°06'21",36°44'33",3418,2208,Argun,6.10583,36.74250,
-7°05'33",37°37'06",2653,2121,Kimhandu,-7.09250,37.61833,
3°56'45",32°54'36",3187,2120,Kinyeti ,3.94583,32.91000,
-0°18'42",36°36'51",4001,2081,Oldoinyo Lesatima,-0.31166,36.61416,
10°57'06",39°06'12",4270,2061,Amba Farit,10.95166,39.10333,
-4°26'06",35°24'00",3420,2050,Mt. Hanang,-4.43500,35.40000,
6°11'51",37°22'51",3568,2013,Guge,6.19750,37.38083,
-3°03'00",35°49'09",3682,2040,Loolmalassin,-3.05000,35.81916,
0°16'11",06°32'30",2024,2024,Pico de São Tomé,0.26972,6.54166,
17°02'00",-25°17'45",1979,1979,Tope de Coroa ,17.03333,-25.29583,
-2°36'48",36°06'12",2948,1930,Gelai Peak,-2.61333,36.10333,
12°08'27",39°10'54",4260,1909,Abune Yosef,12.14083,39.18166,
31°30'30",-06°26'36",4071,1904,Ighil M'Goun,31.50833,-6.44333,
34°50'26",-04°31'02",2456,1901,Koudiet Tirbirhine,34.84055,-4.51722,
13°23'27",41°43'39",2248,1920,Ramlo,13.39083,41.72750,
-22°11'42",46°53'06",2658,1875,Pic Boby,-22.19500,46.88500,
2°31'30",34°46'21",3083,1818,Moroto,2.52500,34.77250,
-2°53'36",36°13'45",2858,1770,Kitumbeine Hill,-2.89333,36.22916,
-21°08'57",14°34'39",2606,1802,Königstein,-21.14916,14.57750,
-15°21'27",37°03'54",2436,1774,Serra Namuli,-15.35750,37.06500,
1°39'33",35°22'57",3334,1759,Chepunyal Hills,1.65916,35.38250,
-4°16'03",37°55'54",2464,1750,Shengena,-4.26750,37.93166,
26°58'45",33°29'15",2187,1747,Jebel Shayib al Banat,26.97916,33.48750,
8°52'39",34°48'42",3301,1742,Tulu Welel,8.87750,34.81166,
-33°45'18",19°11'12",1995,1730,Dutoitspiek,-33.75500,19.18666,
4°11'45",33°07'48",2623,1730,Emogadong,4.19583,33.13000,
-4°43'37",38°13'47",2300,1730,Sungwi,-4.72694,38.22972,
36°26'51",04°13'42",2308,1720,Lalla Khedidja,36.44750,4.22833,
6°13'57",36°17'51",2560,1690,Mt. Smith,6.23250,36.29750,
1°45'45",34°42'33",3063,1690,Kadam,1.76250,34.70916,
-9°04'42",34°01'15",2980,1688,Mtorwi,-9.07833,34.02083,
9°13'39",-11°06'56",1945,1665,Bintimani,9.22750,-11.11555,
-19°20'57",47°14'36",2643,1663,Tsiafajavona,-19.34916,47.24333,
7°08'57",36°32'39",3358,1630,Aggio,7.14916,36.54416,
33°34'06",-03°53'09",3340,1642,Adrar Bou Nasser,33.56833,-3.88583,
35°19'06",06°38'15",2328,1612,Djebel Chélia,35.31833,6.63750,
-13°47'09",13°10'33",2489,1610,Mt. Tama,-13.78583,13.17583,
11°28'27",36°11'39",2731,1601,Belaya,11.47416,36.19416,
6°33'00",36°43'33",3405,1610,Argun North,6.55000,36.72583,
7°54'34",39°23'34",4195,1605,K'ech'a Terara,7.90944,39.39277,
30°57'48",-08°26'36",3615,1609,Jebel Igdet,30.96333,-8.44333,
12°28'08",42°24'14",2021,1607,Moussa Ali,12.46888,42.40388,
-5°08'15",29°03'06",2725,1604,Kabobo,-5.13750,29.05166,
11°19'34",49°44'54",2120,1598,Karkoor,11.32611,49.74833,
-12°12'54",44°25'30",1595,1595,Ntingui  ,-12.21500,44.42500,
-2°57'11",28°47'07",3480,1592,Mont Mohi,-2.95305,28.78527,
13°31'04",44°03'08",3006,1590,Jabal Sabir,13.51777,44.05222,
7°29'28",37°12'22",3359,1589,Mai Gudo,7.49111,37.20611,
21°02'27",16°28'24",3315,1593,Pic Toussidé,21.04083,16.47333,
-0°08'33",29°25'27",3095,1570,Wuhevi,-0.14250,29.42416,
12°51'32",39°29'51",3950,1550,Dubbai,12.85888,39.49750,
2°43'49",36°55'34",2285,1542,Mt. Kulal,2.73027,36.92611,
-33°23'54",21°22'03",2325,1543,Seweweekspoortpiek,-33.39833,21.36750,
3°21'39",08°32'21",2261,1539,Gran Caldera de Luba,3.36083,8.53916,
-1°22'59",29°40'39",4127,1530,Muhavura,-1.38305,29.67750,
-7°41'12",36°52'51",2279,1529,Karenga,-7.68666,36.88083,
-18°18'00",32°50'30",2592,1515,Mt. Nyangani,-18.30000,32.84166,
-12°27'48",15°10'21",2620,1510,Moro de Moco,-12.46333,15.17250,
11°42'39",38°14'12",4120,1510,Guna Terara,11.71083,38.23666,
5°49'19",37°50'28",3240,1510,K'ech'a Terara,5.82194,37.84111,
2°11'30",36°48'57",2848,1501,Mt. Ng'iro,2.19166,36.81583,
9°15'24",41°43'45",3405,1502,Gara Muleta,9.25666,41.72916,
10°44'09",47°14'36",2416,1441,Shimbiris,10.73583,47.24333,
24°12'15",35°00'12",1977,1481,Jabal Hamatah,24.20416,35.00333,
35°21'30",-05°16'27",1926,1470,Jebel Kelti,35.35833,-5.27416,
-4°28'45",35°42'42",2054,1470,Serra Chiperone,-4.47916,35.71166,
-7°30'18",29°59'06",2480,1466,Marungu,-7.50500,29.98500,
4°07'33",33°48'06",2795,1463,Jabal Lotuke,4.12583,33.80166,
-1°31'09",29°15'09",3472,1450,Volcán Nyiragongo,-1.51916,29.25250,
5°01'15",09°50'27",2411,1441,Massif du Manengouba,5.02083,9.84083,
0°57'00",37°24'00",2688,1430,Warges Range,0.95000,37.40000,
31°20'15",-06°59'54",3610,1430,Jebel Anrhomer,31.33750,-6.99833,
3°48'54",34°01'54",2750,1410,Morungole,3.81500,34.03166,
17°33'42",38°00'15",2772,1429,Jebel Hamoyet,17.56166,38.00416,
63°04'10",-151°00'26",6194,6138,Denali,63.06944,-151.00722,
61°43'52",-143°26'07",4996,3548,Mt. Blackburn,61.73111,-143.43527,
63°37'11",-146°43'06",4216,3501,Mt. Hayes,63.61972,-146.71833,
61°26'14",-147°45'10",4016,3277,Mt. Marcus Baker,61.43722,-147.75277,
54°45'19",-163°58'10",2869,2869,Shishaldin Volcano,54.75527,-163.96944,
60°29'05",-152°44'43",3108,2788,Redoubt Volcano,60.48472,-152.74527,
61°24'32",-152°24'50",3479,2648,Mt. Torbert,61.40888,-152.41388,
56°13'11",-159°17'54",2507,2499,Mt. Veniaminof,56.21972,-159.29833,
55°25'10",-161°53'42",2515,2507,Pavlof Volcano,55.41944,-161.89500,
60°19'08",-139°04'22",4557,2457,Mt. Hubbard,60.31888,-139.07277,
69°16'37",-144°54'42",2749,2429,Mt. Chamberlin,69.27694,-144.91166,
60°01'55",-153°05'25",3053,2398,Iliamna Volcano,60.03194,-153.09027,
60°11'11",-139°58'37",4196,2352,Mt. Cook,60.18638,-139.97694,
62°12'49",-144°07'52",4949,2343,Mt. Sanford,62.21361,-144.13111,
60°39'07",-143°41'51",3417,2335,Mt. Tom White,60.65194,-143.69750,
63°14'19",-144°38'38",3155,2263,Mt. Kimball,63.23861,-144.64388,
62°57'37",-151°24'01",5304,2210,Mt. Foraker,62.96027,-151.40027,
58°21'14",-155°05'42",2332,2225,Mt. Griggs,58.35388,-155.09500,
58°39'46",-137°10'29",3879,2187,Mt. Crillon,58.66277,-137.17472,
61°48'14",-154°08'41",2996,2127,North Buttress, Mt. Hesperus,61.80388,-154.14472,
53°07'24",-168°41'32",2103,2103,Mt. Vsevidof,53.12333,-168.69222,
61°23'07",-141°45'02",5045,2104,Mt. Bona,61.38527,-141.75055,
62°06'57",-144°38'24",3661,2061,Mt. Drum,62.11583,-144.64000,
57°08'00",-156°59'10",2111,2035,Mt. Chiginagak,57.13333,-156.98611,
60°47'55",-153°23'38",2873,1943,Neacola Mtns. HP,60.79861,-153.39388,
62°25'23",-152°43'32",2739,1908,Kichatna Spire,62.42305,-152.72555,
60°49'49",-145°07'55",2464,1900,Pt. 8084,60.83027,-145.13194,
54°34'15",-164°41'36",1991,1892,Pogromni Volcano,54.57083,-164.69333,
61°09'38",-144°48'47",2441,1877,Pt. 8010,61.16055,-144.81305,
58°51'33",-153°32'07",2149,1890,Mt. Douglas,58.85916,-153.53527,
67°24'47",-154°57'59",2523,1868,Mt. Igikpak,67.41305,-154.96638,
58°10'23",-133°24'06",2003,1866,Snow Tower,58.17305,-133.40166,
59°54'46",-150°26'09",2015,1847,Truuli Peak,59.91277,-150.43583,
53°53'08",-166°55'59",1829,1829,Makushin Volcano,53.88555,-166.93305,
61°31'18",-141°06'11",4095,1824,Mt. Natazhat,61.52166,-141.10305,
51°52'57",-178°08'38",1806,1806,Tanaga Volcano,51.88250,-178.14388,
61°04'01",-143°42'30",2592,1815,Hanagita Peak,61.06694,-143.70833,
62°07'52",-148°36'16",2697,1790,Sovereign Mtn.,62.13111,-148.60444,
60°34'38",-148°53'29",1991,1781,Isthmus Peak,60.57722,-148.89138,
54°46'06",-163°43'51",2471,1785,Isanotski Peaks,54.76833,-163.73083,
55°04'04",-162°50'07",1769,1750,Frosty Peak,55.06777,-162.83527,
52°04'55",-176°08'09",1740,1740,Great Sitkin Volcano,52.08194,-176.13583,
52°49'26",-169°56'48",1730,1730,Mt. Cleveland,52.82388,-169.94666,
62°00'23",-144°01'04",4317,1711,Mt. Wrangell,62.00638,-144.01777,
60°31'13",-143°05'38",3266,1696,Mt. Steller,60.52027,-143.09388,
62°47'54",-151°53'03",3557,1682,Mt. Russell,62.79833,-151.88416,
57°00'53",-134°59'19",1643,1643,Baranof Is. HP,57.01472,-134.98861,
60°55'42",-142°31'26",2596,1621,Pt. 8517,60.92833,-142.52388,
60°11'29",-139°26'06",3368,1646,Mt. Foresta,60.19138,-139.43500,
52°53'32",-170°03'32",1610,1610,Carlisle Is. HP,52.89222,-170.05888,
61°18'27",-148°52'13",2440,1608,Bashful Peak,61.30750,-148.87027,
60°27'39",-142°18'12",3277,1616,Mt. Miller,60.46083,-142.30333,
51°47'18",-178°47'39",1573,1573,Mt. Gareloi,51.78833,-178.79416,
63°38'16",-147°14'20",3761,1582,Mt. Deborah,63.63777,-147.23888,
61°06'45",-153°28'10",2541,1581,Pt. 8336,61.11250,-153.46944,
61°29'42",-153°37'22",2587,1565,Pt. 8488,61.49500,-153.62277,
60°18'19",-140°27'37",4289,1549,Mt. Augusta,60.30527,-140.46027,
52°22'50",-174°09'58",1533,1533,Korovin Volcano,52.38055,-174.16611,
61°19'47",-144°57'36",2108,1544,Pt. 6915,61.32972,-144.96000,
61°17'00",-141°08'36",4521,1541,Mt. Bear ,61.28333,-141.14333,
60°27'24",-153°40'30",1905,1494,Pt. 6200+,60.45666,-153.67500,
-83°20'00",165°48'00",4160,2354,Mt. Miller,-83.33333,165.80000,
-77°02'00",-126°06'00",4285,2517,Mt. Sidley,-77.03333,-126.10000,
-64°16'00",-62°25'00",2520,2520,Mt. Parry,-64.26666,-62.41666,
-84°20'00",166°25'00",4528,2601,Mt. Kirkpatrick,-84.33333,166.41666,
-71°47'00",168°45'00",4165,2616,Mt. Minto,-71.78333,168.75000,
-64°38'00",-63°27'00",2760,2760,Mt. Francais,-64.63333,-63.45000,
-69°49'00",-69°43'00",2987,2987,Mt. Stephenson,-69.81666,-69.71666,
-73°26'00",-126°40'00",3110,3110,Mt. Siple,-73.43333,-126.66666,
-77°31'45",167°09'10",3794,3794,Mt. Erebus,-77.52916,167.15277,
-78°35'00",-85°25'00",4892,4892,Mt. Vinson,-78.58333,-85.41666,
-86°18'00",158°00'00",3938,1500,Pt. 3938,-86.30000,158.00000,
-78°31'00",163°35'00",2725,1515,Mt. Morning,-78.51666,163.58333,
-72°57'00",169°23'00",2025,1598,Mt. Brewster,-72.95000,169.38333,
-80°13'00",157°26'00",3490,1621,Mt. McClintock,-80.21666,157.43333,
-64°13'00",-57°38'00",1630,1630,Mt. Haddington,-64.21666,-57.63333,
-67°40'00",-67°30'00",1632,1632,Mt. Verne,-67.66666,-67.50000,
-78°22'00",165°01'00",2680,1637,Mt. Discovery,-78.36666,165.01666,
-80°22'00",77°21'00",4091,1639,Dome Argus,-80.36666,77.35000,
-68°49'50",-90°37'40",1640,1640,Lars Christiansen Peak,-68.83055,-90.62777,
-83°54'00",168°23'00",4480,1657,Mt. Elizabeth,-83.90000,168.38333,
-77°31'00",168°32'00",3230,1696,Mt. Terror,-77.51666,168.53333,
-74°21'00",164°42'00",2730,1699,Mt. Melbourne,-74.35000,164.70000,
-62°40'07",-60°11'15",1700,1700,Mt. Friesland,-62.66861,-60.18750,
-76°48'00",-117°42'00",3675,1780,Mt. Frakes,-76.80000,-117.70000,
-84°33'00",175°19'00",4230,1783,Mt. Kaplan,-84.55000,175.31666,
-73°04'00",165°42'00",3655,1804,Mt. Supernal,-73.06666,165.70000,
-73°25'00",166°18'00",3501,1927,Mt. Murchison,-73.41666,166.30000,
-70°35'00",-70°10'00",2486,1939,Pt. 2486,-70.58333,-70.16666,
-75°48'00",-115°49'00",3595,1946,Richmond Peak,-75.80000,-115.81666,
-73°32'00",169°42'00",2000,2000,Hawkes Heights,-73.53333,169.70000,
-75°20'00",-110°44'00",2705,2055,Mt. Murphy,-75.33333,-110.73333,
-69°00'00",71°00'00",2896,2058,Gora Georgia Pobedonosca,-69.00000,71.00000,
-82°51'00",161°21'00",4350,2103,Mt. Markham,-82.85000,161.35000,
-63°00'18",-62°32'06",2105,2105,Mt. Foster,-63.00500,-62.53500,
-76°17'20",-112°09'21",3460,2144,Mt. Takahe,-76.28888,-112.15583,
-71°23'00",-63°22'00",3184,2187,Mt. Jackson,-71.38333,-63.36666,
-61°17'00",-54°08'00",2300,2300,Mt. Irving,-61.28333,-54.13333,
-67°32'00",-68°37'00",2315,2315,Mt. Gaudry,-67.53333,-68.61666,
-78°04'00",162°41'00",4025,2325,Mt. Lister,-78.06666,162.68333,
45°44'33",82°45'27",3282,2365,Kertau,45.74250,82.75750,
48°37'51",86°50'21",3085,1560,Dzhata,48.63083,86.83916,
44°18'36",81°59'03",3698,1467,Kokirqin Shan,44.31000,81.98416,
47°02'57",85°34'00",3840,3252,Sauyr Zhotasy,47.04916,85.56666,
45°02'30",80°15'27",4622,2480,Gora Alagordy,45.04166,80.25750,
49°08'45",87°49'09",4374,2342,Nayramadlin Orgil,49.14583,87.81916,
45°11'33",90°54'24",3315,2075,Dunheger,45.19250,90.90666,
45°10'48",141°14'21",1721,1721,Rishiri-fuji,45.18000,141.23916,
47°11'18",82°27'57",2993,1679,Khrebet Tarbagatay HP,47.18833,82.46583,
49°48'27",86°35'24",4506,3343,Gora Belukha,49.80750,86.59000,
47°41'19",92°33'54",3796,2353,Jargalant Hayrhan,47.68861,92.56500,
47°36'30",97°33'09",4000,2259,Otgon Tenger Uul,47.60833,97.55250,
44°47'57",95°14'24",3802,2132,Ich Obo,44.79916,95.24000,
44°59'42",100°13'51",3957,1979,Tergun Bogd,44.99500,100.23083,
46°37'03",93°35'39",4220,1787,Sutay Uul,46.61750,93.59416,
48°40'54",90°43'30",4208,1772,Tsast Ula,48.68166,90.72500,
49°34'12",91°23'09",4040,1808,Harhiraa Uul,49.57000,91.38583,
46°53'24",91°28'24",4231,1860,Munkh Hayrhan,46.89000,91.47333,
46°47'21",95°48'03",3578,1749,Hasagt Hayrhan Uul,46.78916,95.80083,
44°53'48",101°34'36",3600,1725,Myangan Yamaat,44.89666,101.57666,
48°45'00",91°37'12",3350,1687,Altan Hohiy,48.75000,91.62000,
47°17'15",93°01'51",3470,1664,Bumbag Hayrhan Uul,47.28750,93.03083,
49°47'57",89°45'15",4029,1594,Turgen Uul,49.79916,89.75416,
46°58'09",92°43'30",3984,1541,Baatar Hayrhan,46.96916,92.72500,
51°43'09",100°35'51",3491,1578,Munku Sardyk,51.71916,100.59750,
56°03'15",160°38'27",4750,4649,Klyuchevskaya Sopka,56.05416,160.64083,
56°39'12",161°21'42",3307,3168,Shiveluch,56.65333,161.36166,
55°40'42",157°43'06",3607,3125,Ichinsky V.,55.67833,157.71833,
53°19'15",158°42'45",3456,2999,Koryaksky V.,53.32083,158.71250,
54°45'09",160°31'57",3527,2736,Kronotsky,54.75250,160.53250,
50°51'39",155°33'51",2339,2339,Alaid V.,50.86083,155.56416,
53°35'18",159°08'54",2923,2210,Zhupanovsky V.,53.58833,159.14833,
55°49'51",160°19'33",3672,2190,Mt. Ostry Tolbachik,55.83083,160.32583,
56°51'51",117°34'30",3072,2230,Pik BAM,56.86416,117.57500,
55°58'27",114°26'04",3067,2107,Yuzhno Muiskyy Khrebet HP,55.97416,114.43444,
52°32'36",157°20'21",2460,2070,Opala V.,52.54333,157.33916,
48°53'48",138°03'12",2090,1989,Gora Tardoki-Yani,48.89666,138.05333,
51°18'21",156°52'33",2161,1970,Kambalny V.,51.30583,156.87583,
57°55'15",160°40'33",2616,1920,Gora Khuvkhoitun,57.92083,160.67583,
53°36'24",134°34'30",2370,1915,Yam-Alin Range HP,53.60666,134.57500,
56°41'33",159°38'42",2598,1825,Gora Alney,56.69250,159.64500,
56°21'21",111°38'51",2641,1819,Verkhne-Angarskiy Khrebet HP,56.35583,111.64750,
44°21'12",146°14'51",1819,1819,Tyatya V.,44.35333,146.24750,
50°19'24",155°27'39",1816,1816,Chikurachki V.,50.32333,155.46083,
50°03'45",87°33'51",4177,1806,Severo-Chuyskiy Khrebet HP,50.06250,87.56416,
57°07'18",117°59'18",2966,1810,North Kodar Group HP,57.12166,117.98833,
52°03'45",157°42'36",2089,1810,Khodutka V.,52.06250,157.71000,
54°58'27",160°42'12",2577,1750,Gora Gamchen,54.97416,160.70333,
52°26'54",158°11'51",2322,1750,Mutnovsky V.,52.44833,158.19750,
51°34'36",157°19'42",1957,1730,Zheltovsky V.,51.57666,157.32833,
54°37'18",110°27'21",2841,1723,Barguzinskiy Khrebet HP,54.62166,110.45583,
50°16'45",90°07'09",3970,1685,Gora Mungun-Tayga,50.27916,90.11916,
55°53'51",130°27'12",2380,1683,Tokinskiy Stanovik HP,55.89750,130.45333,
44°50'15",147°20'36",1634,1634,Gora Stokap,44.83750,147.34333,
55°45'30",160°31'36",2920,1630,Gora Bolshaya Udina,55.75833,160.52666,
50°16'03",155°14'51",1772,1630,Fussa V.,50.26750,155.24750,
53°54'15",158°04'12",2276,1610,Gora Bakening,53.90416,158.07000,
52°42'18",158°16'54",2173,1610,Vilyuchinsky V.,52.70500,158.28166,
50°51'06",143°08'30",1609,1609,Gora Lopatina,50.85166,143.14166,
55°03'36",108°41'06",2588,1596,Gora Cherskogo,55.06000,108.68500,
56°04'09",115°51'42",2363,1596,Gora Shaman,56.06916,115.86166,
55°51'39",160°36'21",3080,1570,Gora Oval'naya Zimina,55.86083,160.60583,
53°15'21",158°50'12",2741,1550,Avachinsky V.,53.25583,158.83666,
54°31'42",159°48'15",2353,1550,Sopka Taunshits,54.52833,159.80416,
45°20'15",147°55'09",1585,1550,Gora Bogdan Khmel'nitskiy,45.33750,147.91916,
46°48'53",151°47'12",1539,1539,Milne V.,46.81472,151.78666,
53°53'36",96°00'27",2891,1529,Pik Grandiozniyy,53.89333,96.00750,
55°07'51",160°19'12",2375,1530,Kizimen V.,55.13083,160.32000,
52°34'48",94°16'12",2522,1509,Khrebet Baldyrgannyg HP,52.58000,94.27000,
56°40'20",119°07'30",2570,1501,Khrebet Udokan HP,56.67222,119.12500,
59°04'03",151°31'54",1548,1497,Skalistaya,59.06750,151.53166,
52°25'57",137°39'42",1573,1478,Omel'dinskiy Khrebet HP,52.43250,137.66166,
52°50'36",99°41'39",3149,1472,Khrebet Kropotkina HP,52.84333,99.69416,
53°38'27",97°14'15",2938,1469,Bolshoi Sayan Range HP,53.64083,97.23750,
27°59'18",86°55'27",8848,8848,Mt. Everest,27.98833,86.92416,
-4°05'01",137°11'05",4884,4884,Puncak Jaya,-4.08361,137.18472,
43°21'18",42°26'21",5642,4741,Gora El'brus,43.35500,42.43916,
35°57'21",52°06'31",5610,4667,Kuh-e Damavand,35.95583,52.10861,
35°14'16",74°35'23",8125,4608,Nanga Parbat,35.23777,74.58972,
42°02'06",80°07'30",7439,4148,Jengish Chokusu,42.03500,80.12500,
43°48'06",88°19'57",5445,4122,Bogda Shan,43.80166,88.33250,
29°37'54",95°03'18",7782,4106,Namcha Barwa I,29.63166,95.05500,
6°04'30",116°33'30",4095,4095,Gunung Kinabalu,6.07500,116.55833,
35°52'57",76°30'48",8611,4017,K2,35.88250,76.51333,
23°28'12",120°57'27",3952,3952,Yu Shan,23.47000,120.95750,
27°42'12",88°08'51",8586,3922,Kangchenjunga,27.70333,88.14750,
36°15'15",71°50'36",7708,3910,Tirich Mir,36.25416,71.84333,
-1°41'48",101°15'51",3805,3805,Gunung Kerinci,-1.69666,101.26416,
35°21'38",138°43'40",3776,3776,Fuji-san,35.36055,138.72777,
-8°06'27",112°55'21",3676,3676,Gunung Semeru,-8.10750,112.92250,
-8°24'36",116°27'30",3726,3726,Gunung Rinjani,-8.41000,116.45833,
29°35'45",101°52'45",7556,3642,Minya Konka,29.59583,101.87916,
39°42'09",44°18'00",5137,3611,Ararat,39.70250,44.30000,
38°35'39",75°18'48",7649,3585,Kongur Tagh,38.59416,75.31333,
-3°23'06",120°01'27",3478,3478,Bulu Rantemario,-3.38500,120.02416,
38°56'33",72°00'54",7495,3402,Pik Imeni Ismail Samani ,38.94250,72.01500,
28°41'48",83°29'18",8167,3357,Dhaulagiri I,28.69666,83.48833,
38°16'02",47°50'05",4811,3283,Kuh-e-Sabalan,38.26722,47.83472,
-7°14'21",109°13'12",3428,3284,Gunung Slamet,-7.23916,109.22000,
43°04'24",94°20'48",4886,3243,Tomurty,43.07333,94.34666,
27°05'54",100°10'30",5596,3202,Shanzidou,27.09833,100.17500,
30°22'36",79°58'15",7816,3139,Nanda Devi,30.37666,79.97083,
36°30'36",74°31'21",7795,3118,Batura Sar I,36.51000,74.52250,
-7°37'39",111°11'39",3265,3118,Gunung Lawu,-7.62750,111.19416,
28°33'00",84°33'39",8163,3092,Manaslu,28.55000,84.56083,
42°15'42",80°53'24",6627,3068,Xuelian Feng,42.26166,80.89000,
-8°07'33",114°02'45",3332,3069,Gunung Raung,-8.12583,114.04583,
-3°10'24",129°27'18",3027,3027,Gunung Binaiya,-3.17333,129.45500,
-8°20'27",115°30'12",3031,3031,Gunung Agung,-8.34083,115.50333,
28°02'54",90°27'15",7570,2995,Kangkar Pünzum,28.04833,90.45416,
28°35'45",83°49'15",8091,2984,Annapurna I,28.59583,83.82083,
43°07'06",77°20'27",4978,2981,Talghar Shyngy,43.11833,77.34083,
6°59'15",125°16'15",2954,2954,Mt. Apo,6.98750,125.27083,
-8°54'24",125°29'36",2963,2963,Mt. Ramelau,-8.90666,125.49333,
29°48'51",94°58'06",7294,2942,Gyalha Peri,29.81416,94.96833,
38°51'57",75°06'30",6727,2901,Chakragil,38.86583,75.10833,
3°47'51",97°13'09",3466,2941,Gunung Leuser,3.79750,97.21916,
16°35'51",120°53'57",2922,2922,Mt. Pulog,16.59750,120.89916,
28°36'00",61°07'57",3941,2901,Kuh-e Taftan,28.60000,61.13250,
23°14'13",57°15'50",3019,2899,Jebel Shams,23.23694,57.26388,
28°21'09",85°46'45",8027,2897,Shisha Pangma,28.35250,85.77916,
25°44'24",95°02'15",3826,2885,Saramati,25.74000,95.03750,
-5°20'48",119°55'54",2874,2857,Moncong Lompobatang,-5.34666,119.93166,
36°10'45",70°59'00",6843,2865,Kuh-e Bandaka,36.17916,70.98333,
36°09'15",72°19'39",6542,2845,Buni Zom,36.15416,72.32750,
30°55'12",79°35'30",7756,2825,Kamet I,30.92000,79.59166,
36°08'33",74°29'21",7788,2818,Rakaposhi,36.14250,74.48916,
31°32'36",103°51'12",4969,2808,Jiuding Shan,31.54333,103.85333,
-7°45'51",112°35'21",3339,2812,Gunung Arjuna,-7.76416,112.58916,
-6°53'36",108°24'24",3078,2793,Gunung Careme,-6.89333,108.40666,
39°20'36",72°52'39",7134,2790,Ibn Sina Peak ,39.34333,72.87750,
30°26'09",81°17'45",7694,2788,Gurla Mandhata,30.43583,81.29583,
-1°09'24",133°58'48",2940,2761,Pegunungan Arfak,-1.15666,133.98000,
-4°42'30",140°17'21",4760,2760,Puncak Mandala,-4.70833,140.28916,
-7°57'51",113°34'00",3088,2746,Gunung Argopuro,-7.96416,113.56666,
29°30'42",57°16'18",4500,2741,Kuh-e Hazar,29.51166,57.27166,
